date,2024-07-24,2024-07-24,2024-07-25,2024-07-25,2024-07-26,2024-07-26,2024-07-27,2024-07-27,2024-07-28,2024-07-28,2024-07-29,2024-07-29,2024-07-30,2024-07-30,2024-07-31,2024-07-31,2024-08-01,2024-08-01,2024-08-02,2024-08-02,2024-08-03,2024-08-03,2024-08-04,2024-08-04,2024-08-05,2024-08-05,2024-08-06,2024-08-06,2024-08-07,2024-08-07,2024-08-08,2024-08-08,2024-08-09,2024-08-09,2024-08-10,2024-08-10,2024-08-11,2024-08-11
sport,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end,start,end
marathon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11.25,8,11.5
pentathlon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,15.5,11,13.5
pentathlon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,19,17,19.5,,
race walk,,,,,,,,,,,,,,,,,7.5,11.75,,,,,,,,,,,7.5,11,,,,,,,,
rugby,15.5,22,14,17,,,14.5,20.75,15.5,22,14,17,14.5,20.75,,,,,,,,,,,,,,,,,,,,,,,,
rugby,,,20,23,,,,,,,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,
hockey,,,,,,,10.5,15,10.5,15,10.5,15,10.5,15,10.5,15,10.5,15,10.5,15,10.5,15,,,,,,,,,,,,,,,,
hockey,,,,,,,11,15.5,11,15.5,11,15.5,11,15.5,11,15.5,11,15.5,11,15.5,11,15.5,,,,,,,,,,,,,,,,
hockey,,,,,,,17.5,22,17.5,22,17.5,22,17.5,22,17.5,22,17.5,22,17.5,22,17.5,22,,,,,,,,,,,,,,,,
hockey,,,,,,,18,22.5,18,22.5,18,22.5,,,18,22.5,18,22.5,18,22.5,,,,,,,,,,,,,,,,,,
mountain biking,,,,,,,,,14,16.5,14,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,
