,sport,mean_hist,std_hist,sem_hist,mean_2050,std_2050,sem_2050,change_ht50
0,archery,0.7959912779111694,6.582361314008056,0.43490705507358446,2.166732062221918,10.63266608282969,0.7025171170448129,1.3707407843107484
21,shooting,0.8107589911570114,6.593568292859791,0.43564751794643036,2.266649433420166,10.8386760971547,0.7161285255305622,1.4558904422631547
11,golf,0.8281718915670487,6.610109908461186,0.4367404487328416,2.3392009937153446,11.006175688938297,0.7271954893013909,1.5110291021482958
6,cycling (road),2.6468258489215493,11.992485039744519,0.7923625129100478,6.084914912673151,17.236388045265105,1.1388355040491187,3.4380890637516015
23,climbing,3.1791681298864303,12.591812370896267,0.831961020524879,8.607032054238966,19.00529208770508,1.2557098005372418,5.427863924352535
3,beach volleyball,3.6548829041617155,13.49771302096744,0.8918153137058468,9.513059023014533,19.880693091610663,1.313548933707708,5.858176118852818
10,football,3.9492091593555365,14.303449604232172,0.945051608080478,9.644791470822081,20.094815967357533,1.3276963718188277,5.695582311466545
14,lacrosse,4.517225561244889,14.22977437351259,0.9401837686995052,12.536078463498798,21.740672546809506,1.4364407272099005,8.01885290225391
12,hockey,4.517225561244889,14.22977437351259,0.9401837686995052,12.536078463498798,21.740672546809506,1.4364407272099005,8.01885290225391
22,softball,4.524141186965814,12.78712796756625,0.844865831869238,14.339235220032913,22.69151952801809,1.4992646957974334,9.8150940330671
5,cricket,5.55418178635235,14.343631138242978,0.9477064657814355,16.484879514799214,24.110965459959502,1.5930497405021462,10.930697728446864
1,baseball,5.55418178635235,14.343631138242978,0.9477064657814355,16.484879514799214,24.110965459959502,1.5930497405021462,10.930697728446864
16,mountain biking,5.600956522074509,16.063152504407743,1.0613179705013827,14.048713334945354,22.82739520544823,1.5082422173749124,8.447756812870846
24,tennis,5.758329357533336,16.371714427167362,1.0817051462782037,14.320334054208592,23.097130461496967,1.5260640536828078,8.562004696675256
19,rugby,5.780842116501587,16.375242474039737,1.0819382499323833,14.334024370405148,23.119212341280527,1.5275230385134824,8.553182253903561
9,flag football,6.154585900013293,17.033327410085562,1.1254189657227636,14.69009846451637,23.399371035012653,1.5460335678861263,8.535512564503076
2,basketball 3×3,6.461718381507105,17.44104889899966,1.1523577713541846,15.150079341547997,23.67826422608592,1.5644604834903522,8.688360960040892
8,equestrian,8.152386298360769,17.774567706957306,1.1743938881306717,20.820650107223756,26.822439696197048,1.7722011451022561,12.668263808862987
4,canoe slalom*,8.207050705299137,18.553809524639075,1.2258796313087237,19.508096707264023,25.832918497960442,1.7068219096382091,11.301046001964886
13,canoe sprint*,8.207050705299137,18.553809524639075,1.2258796313087237,19.508096707264023,25.832918497960442,1.7068219096382091,11.301046001964886
18,rowing*,8.7008297196062,19.478785686223784,1.2869942737990983,19.227857064141578,25.71951493936988,1.6993291566049582,10.527027344535378
15,medium-length races,8.953097249406275,19.737480955599324,1.3040866806723206,19.538731084916865,25.858179009795773,1.708490911731512,10.58563383551059
25,triathlon,8.953097249406275,19.737480955599324,1.3040866806723206,19.538731084916865,25.858179009795773,1.708490911731512,10.58563383551059
17,pentathlon,8.953097249406275,19.737480955599324,1.3040866806723206,19.538731084916865,25.858179009795773,1.708490911731512,10.58563383551059
20,sailing*,19.744267497134807,27.004625991255274,1.7842384826592086,37.5353872509764,35.94933170980141,2.3752293804505706,17.791119753841592
7,endurance races,27.609113357109017,29.663426514965508,1.9599096515046668,45.8669528135857,35.21890566061945,2.326968972544562,18.25783945647668
