scenario,Sydney,Rio de Janeiro,Barcelona,London,Los Angeles,Paris,Athens,Atlanta,Seoul,Tokyo,Beijing
Baseline,0.0,0.6134419752185406,1.013837276357885,1.0507818201722376,1.3781870727509369,1.5645663041891695,4.388640252092921,7.383233287111371,10.80655652459495,12.091330615086271,18.108866406364037
2030,0.0,0.2750700931737459,0.31942357344027794,0.5699259232228873,0.6515310645039653,0.8888802729528535,2.0046505268564694,3.4663507152240545,5.533152094584732,6.349758838446622,9.603347139103782
Jun-Oct,0.14698378394603154,1.5962230585212132,0.4608640677050684,0.45503578505308606,1.145161747454135,0.6907032798036259,2.217152922608225,4.006347410759175,4.5709601336763965,5.553327317700488,9.856286783189898
Time of Day,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005473653481243614,0.005112753251711068,0.024029338782659462
